title,link,text,language,family
Music of Southeast Asia - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Southeast_Asia,"July 9, 2025 - Southeast Asian music encapsulates numerous musical traditions and styles in many countries of Southeast Asia. This subregion consists of eleven countries, namely, Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand, Timor-Leste and Vietnam, which accommodate ...","Katang, Southern",Austro-Asiatic
Music of Asia - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Asia,"May 23, 2026 - Asian music encompasses numerous musical styles, diverse cultural and religious traditions, and forms originating on the Asian continent. ... Wikimedia Commons has media related to Asian music.","Katang, Southern",Austro-Asiatic
List of Asian folk music traditions - Wikipedia,https://en.wikipedia.org/wiki/List_of_Asian_folk_music_traditions,"August 9, 2025 - This is a list of Asian folk music traditions, with styles, dances, instruments and other related topics. The term folk music can not be easily defined in a precise manner; it definitions depending on the author, and on audience and context within a work. Similarly, the term traditions in this ...","Katang, Southern",Austro-Asiatic
MUSIC OF SOUTHERN LAOS | KINK GONG / AKUPHONE 2018 | kinkgong,https://kinkgong.bandcamp.com/album/music-of-southern-laos,"May 6, 2021 - March 2006 The BRAO are 60 000 people spread in Ratanakiri, north-east Cambodia and Champasak & Attapeu in southern Laos. The term LAVE is a Laotian official designation. Like so many ethnic minority people, this village is a new village shared by different ethnic groups relocated by the side of the road, while the territory of their ancestors has been looted by Lao, Vietnamese or Chinese business. 2 TA OY COURTING SONG 4.46 ONG a 32 years old KATANG (highlander) man and KEO a 50 years old TA OY woman performing improvised responsive singing, the man alternates singing and using a Lao KHENE (a 16 bamboo tubes mouthorgan) in Tad Lo, SARAVAN province.","Katang, Southern",Austro-Asiatic
"Katang, Southern Language (SCT) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/sct/,Southern Katang is a stable indigenous language of Laos. It belongs to the Austro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,"Katang, Southern",Austro-Asiatic
Austro-Asiatic | Ethnologue Free,https://www.ethnologue.com/subgroup/231/,"Katang, Southern sct, a language of Laos · Khua xhv, a language of Viet Nam · So sss, a language of Laos · Kuay 2 · Kuay kdt, a language of Thailand · Nyeu nyl, a language of Thailand · Khmer 2 · Khmer khm, a language of Cambodia · Khmer, Northern kxm, a language of Thailand ·","Katang, Southern",Austro-Asiatic
"Southeast Asian arts - Music, Instruments, Traditions | Britannica",https://www.britannica.com/art/Southeast-Asian-arts/Music,"July 26, 1999 - Southeast Asian arts - Music, Instruments, Traditions: A general musical division exists between the urban and rural areas of Southeast Asia. Urban centres comprise the islands of Java and Bali and places in Thailand, Laos, Cambodia, and Myanmar, where big ensembles of gong families play for ...","Katang, Southern",Austro-Asiatic
"Katang, Southern language. Evangelism tools, church planting resources, Christian songs and audio bible study materials. Download free MP3s.",https://globalrecordings.net/en/language/sct,"Katang, Southern language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Katang, Southern",Austro-Asiatic
Southeast Asian Music - Melodigging,https://www.melodigging.com/genre/southeast-asian-music,"Local instrumentation and style vary widely—ukulele, slack-key guitar, and himene tarava in Polynesia; gong-row ensembles, kotekan interlocking, and metallophones in Indonesia; kulintang suites in the southern Philippines; nose flutes and bamboo zithers across the region; and valiha (tube zither) in Madagascar—yet they share maritime, oral-poetic, and communal aesthetics shaped by millennia of seafaring and exchange.","Katang, Southern",Austro-Asiatic
"Traditional Asian Music: Chinese, Japanese, Tibetan, Korean, Oriental Shamisen and Shakuhachi - Album by Orlando Wilde | Spotify",https://open.spotify.com/album/3sExyS0eNePB5OiIL6e0qA,"Sign up to get unlimited songs and podcasts with occasional ads. No credit card needed · © 2010 One Earth Music, Inc","Katang, Southern",Austro-Asiatic
