title,link,text,language,family
Kra–Dai languages - Wikipedia,https://en.wikipedia.org/wiki/Kra–Dai_languages,"Among proponents, there is yet no agreement as to whether they are a sister group to Austronesian in a family called Austro-Tai, a back-migration from Taiwan to the mainland or a later migration from the Philippines to Hainan during the Austronesian expansion.",Kadai,Austronesian
Kra–Dai-speaking peoples - Wikipedia,https://en.wikipedia.org/wiki/Kra–Dai-speaking_peoples,"Aside from linguistic evidence, the connection between Austronesian and Kra–Dai can also be seen in shared cultural practices. Roger Blench (2008) demonstrates that tooth ablation, face tattooing, teeth blackening, and snake worship are shared between the Taiwanese indigenous peoples and the Kra–Dai peoples of southern China. [5][6]",Kadai,Austronesian
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,1 week ago - Gong ensembles are also a common musical heritage of Island Southeast Asia. The casting of gong instruments is believed to have originated from the Bronze Age cultures of Mainland Southeast Asia. It spread to the Austronesian islands initially through trade as prestige goods.,Kadai,Austronesian
Austro-Tai languages - Wikipedia,https://en.wikipedia.org/wiki/Austro-Tai_languages,"May 31, 2026 - There were later several advances ... of Austronesian. Sagart (2005a) cited a core of regular sound correspondences relating words belonging to the basic vocabulary in Benedict's work. He pointed out the lack of a substantial body of shared cultural words. He took these facts as indications that Benedict's Austro-Tai cannot be explained as a contact phenomenon. He further listed a number of specifically Malayo-Polynesian features in the vocabulary shared by Tai-Kadai and Austronesian, ...",Kadai,Austronesian
Taiwanese Indigenous pop music - Wikipedia,https://en.wikipedia.org/wiki/Taiwanese_Indigenous_pop_music,"March 26, 2026 - Taiwanese Indigenous pop music comprises contemporary songs performed in Austronesian languages native to Taiwan, blending modern pop music with Indigenous linguistic and cultural elements. It has steadily gained mainstream recognition over the past two decades, reflecting a broader cultural ...",Kadai,Austronesian
Kra-Dai and Austronesian: the lexical evidence revisited | Zenodo,https://zenodo.org/records/1127806,"Jul 23, 2015 · Using this new evidence, I will demonstrate that some Tai-Kadai lexical forms are found only in certain divergent Formosan languages such as Rukai and Puyuma, but not in other Austronesian languages.",Kadai,Austronesian
"Shared paternal ancestry of Han, Tai‐Kadai‐speaking, and ...",https://onlinelibrary.wiley.com/doi/pdf/10.1002/ajpa.24240,"The data described in this study will assist in understanding of the history of Han, Tai‐Kadai‐speaking, and Austronesian‐speaking populations from ethnology, archeology, and linguistic perspectives in the future.",Kadai,Austronesian
"(PDF) Shared paternal ancestry of Han, Tai-Kadai-speaking ...",https://www.researchgate.net/publication/349144829_Shared_paternal_ancestry_of_Han_Tai-Kadai-speaking_and_Austronesian-speaking_populations_as_revealed_by_the_high_resolution_phylogeny_of_O1a-M119_and_distribution_of_its_sub-lineages_within_China,"Feb 7, 2021 · We propose several sub-lineages of O1a-M119 as founding paternal lineages of Han, Tai-Kadai-speaking, and Austronesian-speaking populations.",Kadai,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Using a zither in the form of a bamboo pipe rounded by strings, called sasando/sasandu/valiha/kolibit as an accompaniment of narrative songs; also other corresponding traditions using different instruments (Sundanese pantun, dayak sape).Austronesian ...",Kadai,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/channel/UCGAXcH95xpp9X5z3iZDZl6Q,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of S...",Kadai,Austronesian
