title,link,text,language,family
Libido / Marako / Maraqo / ሊቢዶ : The Libido Language (East ...,https://www.youtube.com/watch?v=k6C3aSwLsiw,Libido is an Afro-Asiatic language of the family's Cushitic branch. It's native speakers are reside in Ethiopia.Within Cushitic itself; Libido is considered ...,Libido,Afro-Asiatic
Resounding Afro Asia: Interracial Music and the Politics of ...,https://books.google.com/books/about/Resounding_Afro_Asia.html?id=6uBaCwAAQBAJ,"Resounding Afro Asia joins a growing body of literature that is writing Asian American artists back into U.S. popular music history, while highlighting interracial engagements that have...",Libido,Afro-Asiatic
La Libido - YouTube,https://www.youtube.com/watch?v=4UwyVOZLOVU,"May 28, 2025 · AFRO HOUSE MIX 2025 (Adam Port, Hugel, Keinemusik, MoBlack) / LIVE DJ SET by JOANSON Quiet Time with God: 1 Hour Instrumental Worship | Prayer Music",Libido,Afro-Asiatic
"Stream Libido Music music | Listen to songs, albums ...",https://soundcloud.com/libido_music,"Play Libido Music and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Libido,Afro-Asiatic
LIBIDO AFRO HOUSE SESSION BY DARIO CAST - SoundCloud,https://soundcloud.com/thelabco/libido-afro-house-session-by-dario-cast,"Sep 12, 2024 · Stream LIBIDO AFRO HOUSE SESSION BY DARIO CAST by Dario Cast on desktop and mobile. Play over 320 million tracks for free on SoundCloud.",Libido,Afro-Asiatic
Resounding Afro Asia: Interracial Music and the Politics of ...,https://www.jstor.org/stable/26814337,"Resounding Afro Asia: Interracial Music and the Politics of Collaboration. By Tamara Roberts. Oxford: Oxford University Press, 2016; 248 pp.; illustrations. $99.00 hardcover, $24.95 paper, e-book available.",Libido,Afro-Asiatic
afro-asiatic music - playlist by Farimah Karimi | Spotify,https://open.spotify.com/playlist/7ne7yf7hbjKVeHTVzV7TVN,afro-asiatic music · Playlist · 86 songs · 4 likes,Libido,Afro-Asiatic
"Audio Recording, Africa, Music, Afro-Asiatic Languages | Library of Congress",https://www.loc.gov/audio/?fa=location:africa|subject:music|language:afro-asiatic+languages&all=true,"Zambiance Catalog Record Only Compact disc. Pop music from Zambia. Includes songs in Luvale, Bamba, Tonga, Nyanja, Mambwe-Lungu (Mambwe dialect), & Lozi. Issued also as an analog disc (ORD-037). Various Zambian performers. Recorded at dB studios, Lusaka. Compiled by Ben Mandelson.",Libido,Afro-Asiatic
Afro Asian Music Ensemble | Spotify,https://open.spotify.com/artist/7iSy2HWGLqe1Rw3YEIsZ0x,Afro Asian Music Ensemble · 10 monthly listeners · Follow · 1 · Gadzo · 14:25 · 2 · I Wor Kuen · 2:59 · 3 · Prologue: The Way of Shaolin · 1:28 · 4 · Free Mumia! Suite · 11:55 · 5 · Big Red! 11:45 · See more · 10 monthly listeners · Show all · Oliver Lake Quartet ·,Libido,Afro-Asiatic
Sounding the Indian Ocean: Musical Circulations in the Afro-Asiatic Seascape | Department of Music,https://music.sas.upenn.edu/events/2019/03/15/sounding-indian-ocean-musical-circulations-afro-asiatic-seascape,Some topics to be discussed include: women's music and dance in Mozambique; Sikh music in Kenya; Baloch music in Oman; musics of the African diaspora in Western India and Pakistan; Sumatran imagined musical connections with South Asia; and musics of the Tamil (South Indian) diaspora in Singapore; and more!,Libido,Afro-Asiatic
