title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,1 week ago - Gong ensembles are also a common musical heritage of Island Southeast Asia. The casting of gong instruments is believed to have originated from the Bronze Age cultures of Mainland Southeast Asia. It spread to the Austronesian islands initially through trade as prestige goods.,Vaie,Austronesian
Taiwanese Indigenous pop music - Wikipedia,https://en.wikipedia.org/wiki/Taiwanese_Indigenous_pop_music,"March 26, 2026 - Taiwanese Indigenous pop music comprises contemporary songs performed in Austronesian languages native to Taiwan, blending modern pop music with Indigenous linguistic and cultural elements. It has steadily gained mainstream recognition over the past two decades, reflecting a broader cultural ...",Vaie,Austronesian
Bintulu language - Wikipedia,https://en.wikipedia.org/wiki/Bintulu_language,"November 10, 2024 - Bintulu or Vaie is an Austronesian language of Borneo. Robert Blust leaves it as an isolate within the North Sarawakan languages.",Vaie,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"The Dong culture of western China has been identified as Austronesian in recent years.Austronesian culture includes more than 1200 ethnic groups, across South Asia, Southeast Asia, Taiwan, the...",Vaie,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Using a zither in the form of a bamboo pipe rounded by strings, called sasando/sasandu/valiha/kolibit as an accompaniment of narrative songs; also other corresponding traditions using different instruments (Sundanese pantun, dayak sape).Austronesian music nowadays refers to the ongoing evolution ...",Vaie,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"It's a pity that Taiwanese aboriginal songs are rich and various yet there are only a few musical instruments. I found a few and compare them with the ones from Southeast Asia. We all know that twin-pipe nose flutes are only found in Taiwan, and they exist in Paiwan and are documented in Tsou's literature. The Austronesians in Southeast Asia have single-pipe nose flutes instead of twin-pipe nose flutes.",Vaie,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and Southeast Asia | IIAS,https://www.iias.asia/books/austronesian-soundscapes-performing-arts-oceania-and-southeast-asia,"Ramon P. Santos, Ph.D. UP Center for Ethnomusicology ""The island world of the Pacific and Indian oceans, inhabited by peoples speaking Austronesian languages, has an extremely variegated cultural spectrum. This volume is organised as a musical view on the historical map of the Austronesian expansion, attempting for the first time to see how the performing arts contribute to understanding the interlinkages of this immense cultural area and thus providing a fresh and welcome view on these understudied, yet extremely diverse musical cultures.""",Vaie,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia.",Vaie,Austronesian
Musical aspects of Austronesian culture - Academia.eduAustronesian Music - MelodiggingAustronesian Music - Music genre - Rate Your MusicAustronesian Music and Cultural Exchange - Ministry of CultureAustronesian Soundscapes: Performing Arts in Oceania and ...,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,"Musical forms correlate with the expansion of Austronesian culture in the Indo-Pacific. Polyphonic choral singing shows significant similarities between Taiwan and South China. The Jews' harp, developed in South China, spread to Taiwan and the Austronesian region. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island Southeast Asia to Oceania and Madagascar. Austronesian music nowadays refers to the ongoing evolution and fusion of various cultural influences from foreign and neighbouring cultures. These influences have over the centuries introduced new instruments, styles, and genres, blending age-old elements with newer traditions. By integrating the existing data and current situation, we gathered five generations of the tribe or the ethnic and helped them know more about their ethnic group music and write their music history through music performances. In Austronesia—the region that stretches from Madagascar in the west to Easter Island in the east—music plays a vital role in both the construction and expression of social and cultural identities.",Vaie,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island Southeast Asia to Oceania and Madagascar.",Vaie,Austronesian
