title,link,text,language,family
Music of Mongolia - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Mongolia,"1 week ago - Music is an integral part of Mongolian culture. Among the unique contributions of Mongolia to the world's musical culture are the long songs, overtone singing, and morin khuur, the horse-headed fiddle, and the pentatonic scale.",Mogholi,Mongolic
Moghol language - Wikipedia,https://en.wikipedia.org/wiki/Mogholi_language,"April 26, 2026 - Moghol (or Mogholi; Dari: مُغُلی) is a critically endangered and possibly extinct Mongolic language spoken in the province of Herat, Afghanistan, in the villages of Kundur and Karez-i-Mulla. The speakers were the Moghol people, who numbered 2,000 members in the 1970s.",Mogholi,Mongolic
Moghol people - Wikipedia,https://en.wikipedia.org/wiki/Moghol_people,"May 3, 2026 - The Moghols (also Mogols, Moghuls, Moguls, Monghuls, Monguls) are a Mongolic people in Afghanistan. They reside in the Kundur and Karez-e-Mulla villages of Herat province and in some parts of northern Afghanistan. They used to speak the Moghol language. They are descendants of the Mongol Empire's ...",Mogholi,Mongolic
Mogholi,https://docs.verbix.com/Languages/Mogholi,"Mogholi is a possibly extinct Mongolic language once spoken in the region of Herat, Afghanistan, in the villages of Kundur and Karez-i-Mulla. The speakers were the Moghol people, who numbered 2,000 members in the 1970s.",Mogholi,Mongolic
Mogholi language and alphabet,https://www.omniglot.com/writing/mogholi.htm,"March 28, 2022 - Mogholi is also known as Moghol, Mogol, Mogul or Mongul. The Moghol people of Afghanistan are descendants of Genghis Khan's Mongol soldiers who settled in the region in the 13th century.",Mogholi,Mongolic
Mongolian Music – World Music Central,https://worldmusiccentral.org/world-music-resources/musician-biographies/mongolian-music/,"National musical trends were determined in the capital Ulaanbaatar, whose politics led, in the case of the Western Mongolian ‘biy’ dance, to atypical mixings with Khalkha songs and accompaniment with the horse-head fiddle ‘morin khuur’. Ensembles in Ulaanbaatar started to employ European musical styles and instruments, sometimes combining Mongolian music with foreign styles, sometimes performing only ‘foreign repertoire’.",Mogholi,Mongolic
"Mogholi Language (MHJ) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/mhj/,Mogholi is a dormant language of Afghanistan. It belongs to the Mongolic language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,Mogholi,Mongolic
Music and Sounds of Mongolia | Three Camel Lodge Luxury Lodging,https://www.threecamellodge.com/mongolias-enchanting-sounds/,"August 15, 2025 - It can perform rock, pop, and even jazz music. Also can played by hands. Shudarga is a plucked three-string instrument, widespread across Asia. In Japan known as Shamisen, and in China as Sanxian. The word shudarga was originally named for its long-handled ladle was called shudarga by the Mongols.",Mogholi,Mongolic
Mongolian Music and Sound | Traditional Musical Instruments Mongolia,https://www.mongolia.co.uk/mongolian_music.html,"Listen to different genres of Mongolian music including khoomi (throat singing), rap, long songs and other traditional music from Mongolia. Read about the traditional musical instruments like the morin huur (horse head fiddle).",Mogholi,Mongolic
Endangered Languages Project - Mogholi,https://www.endangeredlanguages.com/lang/4657,"Classification: Mongolic · · dormant · Compare Sources (7) Information from: “Ethnologue: Languages of the World, 18th Edition” . Lewis, M. Paul, Gary F. Simons, and Charles D. Fennig · SIL International · Information from: “Ethnologue: Languages of the World, 18th Edition” .",Mogholi,Mongolic
