title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,1 week ago - Gong ensembles are also a common musical heritage of Island Southeast Asia. The casting of gong instruments is believed to have originated from the Bronze Age cultures of Mainland Southeast Asia. It spread to the Austronesian islands initially through trade as prestige goods.,Masimasi,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"It's a pity that Taiwanese aboriginal songs are rich and various yet there are only a few musical instruments. I found a few and compare them with the ones from Southeast Asia. We all know that twin-pipe nose flutes are only found in Taiwan, and they exist in Paiwan and are documented in Tsou's literature. The Austronesians in Southeast Asia have single-pipe nose flutes instead of twin-pipe nose flutes.",Masimasi,Austronesian
Austronesian - song and lyrics by World Music Atelier | Spotify,https://open.spotify.com/track/1WKzepcsNRrc28d3DjbGud,"January 5, 2009 - Listen to Austronesian on Spotify. Song · World Music Atelier · 2009",Masimasi,Austronesian
Music | MASI MASI,https://masimasi1.bandcamp.com/,"music · merch · community · ... Me · Check out · MASI MASI Leeds, UK · placeholder · Sounds of love, death, work & party from somewhere in the north of England....",Masimasi,Austronesian
"Live Music, Concerts & Music Events | Sofar Sounds",https://www.sofarsounds.com/artists/masi-masi,"Gigs in intimate spaces around the world. Sofar Sounds is a global movement which brings the magic back to live music. Sign up today to host, play or attend.",Masimasi,Austronesian
Music | MASI,https://masi.bandcamp.com/,"music · community · MASI - Kraftwerk (The Robots/Chrono mix) Northern Lights · Check out · MASI Amsterdam, Netherlands · placeholder · Explorers of time and space. Contact MASI · Streaming and Download help ·",Masimasi,Austronesian
"Oceanic music and dance - Polynesian, Melanesian, Aboriginal | Britannica",https://www.britannica.com/art/Oceanic-music/Regional-styles-and-traditions,"August 2, 2002 - In the mid-20th century the Dutch scholar Jaap Kunst attributed the tiled type found in the interior of western New Guinea, the Torres Strait, and Australia to “a people who, without doubt, emigrated from Asia to Australia—where the majority of them finally settled—by way of New Guinea and Torres Strait.” Triadic melody style has been connected with speakers of non-Austronesian (Papuan) languages in New Guinea and elsewhere in Melanesia, while pentatonic structure is described as an element of Austronesian culture in Melanesia. But, whenever new data become available, previous hypotheses on the distribution of stylistic characteristics and their attribution to ethnic and cultural groupings usually have to be revised. Also, rarely is the music of an ethnic group found to be based on one single principle of melodic structure.",Masimasi,Austronesian
MASI MASI (@masimasimusic),https://www.instagram.com/masimasimusic/?hl=en,See Instagram photos and videos from MASI MASI (@masimasimusic),Masimasi,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and Southeast Asia on JSTOR,https://www.jstor.org/stable/j.ctt46mvnd,Australian Indigenous Choices of Repertoire in Community CDs/DVDs:: Recording and Reclaiming Torres Strait Islander Sacred and Secular Music,Masimasi,Austronesian
Masi Masi on Apple Music,https://music.apple.com/us/artist/masi-masi/1243794858,"Listen to music by Masi Masi on Apple Music. Find top songs and albums by Masi Masi including The Cafe, The Rain and more.",Masimasi,Austronesian
