title,link,text,language,family
Orowe language,https://grokipedia.com/page/orowe_language,"Orowe (ISO 639-3: bpk), also known as ʼÔrôê or Boewe, is an endangered Austronesian language of the Oceanic branch spoken by 490 people (2009 census)...",Orowe,Austronesian
Orowe - Sorosoro Sorosoro,https://www.sorosoro.org/en/orowe/,"Classification: Austronesian family, Oceanian, New Caledonia. Area: New Caledonia (Grande Terre: commune of Bourail). Number of speakers: 1,000.",Orowe,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Orowe,Austronesian
MoonwalkersMusic - Давай газуй » Музыкальные новинки 2026...,https://muzexo.net/72819-moonwalkersmusic-davaj-gazuj.html,"На muzexo.net вы можете скачать трек Давай газуй - MoonwalkersMusic в формате mp3 бесплатно, а также слушать его онлайн в хорошем качестве.",Orowe,Austronesian
Relaxing Sleep Music | 12Hours Black Screen Stress Relief... - YouTube,https://www.youtube.com/watch?v=k_5nevJd_dw,О сервисе Прессе Авторские права Связаться с нами Авторам Рекламодателям...,Orowe,Austronesian
AY YOLA - Homay (Премьера клипа 2025). Официальный... | Дзен,https://dzen.ru/video/watch/68acc61f3a18115d810f3e59,"Официальный клип / Official music video. 10 месяцев назад • 72,2 тыс просмотров1 346 поставили ""Нравится"". Хумай - символ света и силы, оживает в песне.",Orowe,Austronesian
ॐ Музыка для медитации и релаксации ( 3 часа). Meditation Relax...,https://yandex.ru/video/preview/425683382087103906,Meditation Relax Music. ॐ Музыка для медитации и релаксации ( 3 часа).,Orowe,Austronesian
Endangered Languages Project - 'Ôrôê,https://www.endangeredlanguages.com/lang/3956,"Also known as. Orowe, Boewe, Neukaledonien. CLASSIFICATION. Austronesian, Malayo-Polynesian, Oceanic, New Caledonian. Code authority. Iso 639-3.",Orowe,Austronesian
Interval Ear Training,https://www.musictheory.net/exercises/ear-interval,Music Theory – Handy Interval Training Tool.,Orowe,Austronesian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Orowe,Austronesian
