title,link,text,language,family
Monguor people - Wikipedia,https://en.wikipedia.org/wiki/Monguor_people,"The Monguor people, also known as Tu people, White Mongol or Tsagaan Mongol, are a Mongolic people and one of the 56 officially recognized ethnic groups in China.",Tu,Mongolic
Turko-Mongolic Music - YouTube,https://www.youtube.com/playlist?list=PLWaFD3jnzZuZ7ezWG6MUQ0cSSZf1K15_V,Turko-Mongolic Music. Hrōðgār. • Плейлист • 30 видео • 137 просмотров. A collection of music in Turkic and Mongolic languages.,Tu,Mongolic
Turkic-Mongolic Music - Melodigging,https://www.melodigging.com/genre/turkic-mongolic-music,"Turkic-Mongolic music is a broad family of Inner Asian musical traditions shaped by nomadic lifeways across the steppe, taiga, and desert zones from Mongolia and Siberia to Xinjiang and...",Tu,Mongolic
Nomadic (Mongolic & Turkic) Throat Singing/Mongolian... | Spotify,https://open.spotify.com/playlist/4lIlyKHgUo1vz6Mk5cnnFu?1013=,Playlist · Nomadic (Mongolic & Turkic) Throat Singing/Mongolian Folk/Central Asian Music · 117 items · 647 saves...,Tu,Mongolic
"Altaic languages | Turkic, Mongolic & Tungusic | Britannica",https://www.britannica.com/topic/Altaic-languages,"The names Mongol and Mongolian have both been used for the language group, though most scholars prefer Mongolian; a few use the term Mongolic.",Tu,Mongolic
BeGet Webmail :: Добро пожаловать в BeGet Webmail!,https://web42.beget.email/,...(Kurmancî) Latvian (Latviešu) Lithuanian (Lietuviškai) Luxembourgish (Lëtzebuergesch) Macedonian (Македонски) Malay (Bahasa Melayu) Malayalam (മലയാളം) Marathi (मराठी) Mongolic.,Tu,Mongolic
Radio Garden – Explore live radio by rotating the globe,https://radio.garden/,Musique Haitienne Metro compas Live 24 h Compas music La Radio du...,Tu,Mongolic
Tajik New Song | Be Tu Shabho Khomushand | Sad Tajik Song 2026,https://vk.com/video-235595250_456239094,"Zakiya - Guli Bukhoro 4K (Official Music Video). 9,1 тыс просмотров.",Tu,Mongolic
Dj Maxwell Tu Vivi Nell Aria – скачать все песни в отличном...,https://soundse.net/show/dj-maxwell-tu-vivi-nell-aria,DJ Maxwell feat. Vivian B Tu Vivi Nell'Aria (Extended Mix).M2 Feat Miani Tu Vivi Nell'Aria (Dj Matrix Remix).,Tu,Mongolic
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Tu,Mongolic
