title,link,text,language,family
Indo-European Music (UPDATED) - YouTube,https://www.youtube.com/playlist?list=PL3FZaG8q9ZMVM1xgHpYwJxoHbszByGUu2,"Indo-European Music (UPDATED). 42 videos 38,533 views Last updated on Aug 7, 2022. Save playlist. Shuffle play. Share. Collection of Indo-European Music!","German, Swiss",Indo-European
"German language | Origin, History, Characteristics, & Facts | Britannica",https://www.britannica.com/topic/German-language,"German belongs to the West Germanic group of the Indo-European language family, along with English, Frisian, and Dutch (Netherlandic, Flemish).","German, Swiss",Indo-European
From Adamic or the language of the Garden of... | Indo-European.eu,https://indo-european.eu/2009/02/adamic-or-the-language-of-eden-before-the-tower-of-babel-dialects-after-the-confusion-of-tongues/,"Traditional Christians based on Genesis 10:5 have assumed that the Japhetite, or Indo-European, languages are rather the direct descendants of the Adamic language, having separated before the confusion of tongues, by which also Hebrew was affected.","German, Swiss",Indo-European
On | Swiss Performance Running Shoes & Clothing,https://www.on.com/,"Born in the Swiss Alps, On running shoes feature the first patented cushioning system which is activated only when you need it - during the landing.Powered by Swiss engineering. Woman running on trail.","German, Swiss",Indo-European
Talk Now! Learn Swiss (Indo-European Edition): Eurotalk Interactive...,https://www.amazon.com/Talk-Now-Learn-Swiss-Indo-European/dp/1843523892,Learn Swiss (Indo-European Edition) [Eurotalk Interactive] on Amazon.com. *FREE* shipping on qualifying offers.Collins Dictionaries. Paperback. German Made Simple: Learn to Speak and Understand German Quickly and Easily.,"German, Swiss",Indo-European
Learn Nepali in Germany: Top Tips for Mastering the Language - Talkpal,https://talkpal.ai/learn-nepali-in-germany-top-tips-for-mastering-the-language/,"German belongs to the West Germanic branch of the Indo-European language family and is known for its complex grammar, compound words, and rich literary tradition. Key Features: Four grammatical cases, three genders, strong and weak verb conjugations.","German, Swiss",Indo-European
Samplette - Music Discovers You,https://samplette.io/,"Samplette runs on display ads. It's how we keep music discovery unbiased and independent. Please consider allowlisting us, or upgrading to Pro.Indie Rock. Indo-Pop.","German, Swiss",Indo-European
"Written German langauge | Differences between German, Swiss...",https://writtenlanguageguide.com/german-written-language.html,"Swiss German uses ss instead of ß. German uses a capital letter for the noun. In German a point is used in place of a comma; eg: 27,000 is 27.000 in German. Traditionally German was written in a Gothic style known as ""Fraktur"", which dates from the 14th century.","German, Swiss",Indo-European
Languages - Languages Central,https://languagescentral.com/languages/,"Indo-European. Celtic. Breton. 210,000. France. Indo-European. Germanic. English. 379,000,000. United Kingdom, Ireland, Australia, New Zealand, Canada, United States, Global. Indo-European.South Africa, Namibia. Indo-European. Germanic. German. 90,000,000.","German, Swiss",Indo-European
top40-charts.com/chart.php?cid=31&date=,https://top40-charts.com/chart.php?cid=31&date=,"Read the latest music news on rock, pop, country, jazz, rap, hip hop and more...","German, Swiss",Indo-European
