title,link,text,language,family
Jenu Kurumba language - Wikipedia,https://en.wikipedia.org/wiki/Jenu_Kurumba_language,"Jenu Kurumba (IPA: [d͡ʒeːnu kurumbɐ]), also known as Jen Kurumba or Jennu Kurumba, is a Southern Dravidian language of the Tamil-Kannada subgroup spoken by the Jenu Kuruba / Kattunayakan tribe. [citation needed] It is often considered to constitute a dialect of Kannada; however, Ethnologue classifies it as a separate language.","Kurumba, Jennu",Dravidian
Kurumba languages - Wikipedia,https://en.wikipedia.org/wiki/Kurumba_languages,"Kurumba (also known as Kuruba in Karnataka and Kuruma in Kerala, IPA: [kuru (m)bɐ, kurumɐ]), refers to a group of languages within the Southern Dravidian branch of the Dravidian language family [3][4] These languages are spoken by the Kurumba communities, who inhabit Nilgiri Hills, in Tamil Nadu and nearby areas including of Coimbatore, Pudukottai etc. [5] The cultural identity of the ...","Kurumba, Jennu",Dravidian
Kurumba languages — Grokipedia,https://grokipedia.com/page/kurumba_languages,"The Kurumba languages form a cluster of closely related, endangered varieties within the South Dravidian I branch of the Dravidian language family, spoken primarily by small indigenous Kurumba tribal communities in the Nilgiri Hills and surrounding forested regions of southern India, spanning the states of Tamil Nadu, Kerala, and Karnataka. [1] [2] These languages exhibit archaic phonological ...","Kurumba, Jennu",Dravidian
"Kurumba, Jennu language",https://globalrecordings.net/en/language/xuj,"Kurumba, Jennu language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Kurumba, Jennu",Dravidian
Archiving Songs and Dance of the Jenu Kurumba Tribe from Karnataka,https://www.academia.edu/68301692/Archiving_Songs_and_Dance_of_the_Jenu_Kurumba_Tribe_from_Karnataka,The project archives nine songs and one dance form of the Jenu Kurumba tribe to preserve their culture. Cultural aphasia threatens the Jenu Kurumba tribe due to hegemonic state power structures. The archive includes an introductory video showcasing the tribe's culture and way of life.,"Kurumba, Jennu",Dravidian
Jenu Kurumba,https://jennukurumba.com/en,"Jenu Kurumba language is a Dravidian language. It is spoken by people called 'Jenu Kurumbas'. These people live in the borders of Karnataka, Kerala and Tamilnadu. The total population of these people is around 1 lakh. They are called as 'Kaatunayakas' in Tamilnadu and Kerala. They are called as 'Jenu Kurumbas' in Karnataka. Jenu Kurumbas live in the forest and mountain areas. In the earlier ...","Kurumba, Jennu",Dravidian
Kurumba - DOBES,https://dobes.mpi.nl/projects/kurumba/,"Their languages belong to the South branch of Dravidian, but further identification or sub-classification is problematic. The project contains audio and visual data on the languages: narrations, songs, interviews, elicitation sessions, etc. and on the cultural events: hunting/fishing, daily occupations, rituals, dance…","Kurumba, Jennu",Dravidian
Dravidian Music,https://music.youtube.com/channel/UCkHgk7IBhayfP3gg7AFJGCg,"Listen to music from Dravidian Music on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Kurumba, Jennu",Dravidian
Archiving Songs and Dance of the Jenu Kurumba Tribe from Karnataka,https://thinkindiaquarterly.org/index.php/think-india/article/view/13015,This project intends to archive nine songs and one dance form of the Jenu Kurumba tribe as an attempt to preserve the language of the community that they use to articulate their collective consciousness. This preservation of language leads to the attribution of respect for the 'world view' of the tribe.,"Kurumba, Jennu",Dravidian
Jenu Kurumba Spiritual Songs - Apps on Google Play,https://play.google.com/store/apps/details?id=org.voh.jksongs.xuj&hl=en-US,"Jenu Kurumba language is a Dravidian language. It is spoken by people called 'Jenu Kurumbas'. These people live in the borders of Karnataka, Kerala and Tamilnadu. The total population of these people is around 1 lakh. They are called as 'Kaatunayakas' in Tamilnadu and Kerala.","Kurumba, Jennu",Dravidian
