title,link,text,language,family
Koro Nulu language - Wikipedia,https://en.wikipedia.org/wiki/Koro_Nulu_language,"November 24, 2025 - Koro Nulu, also known as Koro Ija, is a Plateau language of Nigeria, one of several languages which go by the ethnic name Koro. It is not closely related to other languages. It has very low (~ 7%) lexical similarity with Koro Zuba, which speakers consider to be a variant of the same language ...",Koro Nulu,Niger-Congo
Music of the Democratic Republic of the Congo - Wikipedia,https://en.wikipedia.org/wiki/Music_of_the_Democratic_Republic_of_the_Congo,"June 1, 2026 - Congolese music incorporates a variety of musical traditions. The traditional music serves as entertainment and as a means of expressing customs, emotions, and social values, with each ethnic group developing its own styles of singing, dancing, and vocal expression, which are typically performed ...",Koro Nulu,Niger-Congo
La Congolaise - Wikipedia,https://en.wikipedia.org/wiki/La_Congolaise,"February 22, 2026 - ) is the national anthem of the Republic of the Congo. It was adopted upon independence from France in 1959, replaced in 1969 by ""Les Trois Glorieuses"" but reinstated in 1991. The lyrics were written by Jacques Tondra and Georges Kibanghi, and the music was composed by Jean Royer and Joseph ...",Koro Nulu,Niger-Congo
Congolese rumba - Wikipedia,https://en.wikipedia.org/wiki/Congolese_rumba,"1 day ago - Miguel Ángel Barnet Lanza's treatise On Congo Cults of Bantu Origin in Cuba explains that the majority of enslaved Africans brought to Cuba were initially of Bantu lineage, although later, the Yoruba from Nigeria became dominant. The musical traditions, dance forms, and spiritual practices ...",Koro Nulu,Niger-Congo
Koro Nulu in Nigeria people group profile | Joshua Project,https://joshuaproject.net/people_groups/21981/NI,"However, they are frequently called Ija Koro or Koro Ija. The speakers of Koro Nulu are reported to be found in four settlements: Ija Koro, Kabwei, Dogon Kurmi, and Shere, in the Tafa LGA of Niger state, Nigeria.",Koro Nulu,Niger-Congo
Niger-Congo Music Acts For Hire (Jul 2026) | Get Prices,https://acemusicbookingagency.com/niger-congo-music/,"20 hours ago - Live Niger-Congo Music Acts For Hire Near Me | Find Available Local Musicians Playing Music In Niger-Congo Language Family (Swahili, Yoruba, Shona, Fula, Igbo Languages) & Get Free Niger-Congo Music Act Hire Prices!",Koro Nulu,Niger-Congo
"Koro Nulu Language (VKN) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/vkn/,Koro Nulu is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Koro Nulu,Niger-Congo
Niger-Congo | Ethnologue Free,https://www.ethnologue.com/subgroup/47/,"Pyam pym, a language of Nigeria · Southern 4 · Koro Nulu vkn, a language of Nigeria · Koro Zuba vkz, a language of Nigeria · Migili mgi, a language of Nigeria · Rjili uji, a language of Nigeria · Tarokoid 4 · Kusur-Myet tdl, a language of Nigeria · Pye pai, a language of Nigeria ·",Koro Nulu,Niger-Congo
"A Sociolinguistic Profile of the Koro Nulu [vkn] and Koro Zuba [vkz], formerly Ija-Zuba [vki], Languages of Central Nigeria | SIL Global",https://www.sil.org/resources/publications/entry/91843,"This report describes a sociolinguistic ... the Koro Nulu [vkn] and Koro Zuba [vkz] (formerly known as Ija-Zuba [vki]) language-speaking communities in Gwagwalada Area Council of the Federal Capital Territory (FCT) of Abuja and in the Tafa, Suleja, and Gurara LGAs of Niger State, in central Nigeria. Blench (2020:59) classifies Ija-Zuba in the Atlantic-Congo, Volta-Congo, ...",Koro Nulu,Niger-Congo
Folk Music of the Western Congo | Smithsonian Folkways Recordings,https://folkways.si.edu/folk-music-of-the-western-congo/world/album/smithsonian,"Folk Music of the Western Congo presents music from the Bantu-speaking tribes of Western Congo. Included is a Bambala litigation proceeding, which requires litigants to both speak and sing their case to the village chief. One litigant says, “Let us debate the things, but slowly, slowly….” He then …",Koro Nulu,Niger-Congo
