title,link,text,language,family
Betta Kurumba language - Wikipedia,https://en.wikipedia.org/wiki/Betta_Kurumba,"July 21, 2024 - The Betta Kurumba language (Beṭṭa Kurumba) is a Dravidian language closely related to Kannada and Tamil, and is spoken by 32,000 people in the Nilgiri mountains and in adjoining areas in Tamil Nadu, Karnataka and Kerala.","Kurumba, Betta",Dravidian
Kurumba languages - Wikipedia,https://en.wikipedia.org/wiki/Kurumba_languages,"April 14, 2026 - Kurumba (also known as Kuruba in ... of the Dravidian language family These languages are spoken by the Kurumba communities, who inhabit Nilgiri Hills, in Tamil Nadu and nearby areas including of Coimbatore, Pudukottai etc. The cultural identity of the Kurumba people is expressed extensively through oral traditions, folklore, and music...","Kurumba, Betta",Dravidian
Kurumba people (India) - Wikipedia,https://en.wikipedia.org/wiki/Kurumba_people_(India),"May 24, 2026 - The term Kurumba might have origin from a Proto-Dravidian/Tamil/Kannada root kur meaning 'hill, mountain or forest'. Nadukarkal (Ancestors stone) plays a main role in Kurumbar deity. Also, the main deity of the tribe is Lord Shiva under the name of Bhairava. They also worship animals, birds, trees, rock hillocks, and snakes, along with the other Hindu deities. Kurumbar are partially sanskritised to believing in Hinduism. There are several divisions of Kurumbas: Jenu, Betta ...","Kurumba, Betta",Dravidian
Beṭṭa Kuṟumba | 6 | v2 | The Dravidian Languages | Gail Coelho | Taylo,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315722580-6/beṭṭa-kuṟumba-gail-coelho,"December 18, 2019 - The Betta Kurumbas are an Adivasi group who live on the Wayanad Plateau, a tableland with an average elevation of 800 m that connects the Nilgiri Mountains to","Kurumba, Betta",Dravidian
Betta Kuruba - Bhasha Sanchika,https://sanchika.ciil.org/communities/f471779a-3400-4462-981d-c95b041550b4,"The cultural identity of the Betta Kurumba community is richly conveyed through oral traditions, folklore, and music.","Kurumba, Betta",Dravidian
"Audio Recording, Music, Folk Music, Dravidian Languages, Alu Kurumba (Indic People) | Library of Congress",https://www.loc.gov/audio/?all=true&c=150&fa=subject:music|subject:folk+music|language:dravidian+languages|subject:alu+kurumba+(indic+people)&st=list,Music of the Nilgiri Hills Catalog Record Only Ocora Records: C 560250/51 (on discs: C 560250--C 560251). Traditional instrumental and vocal music from the Nilgiri Hills area of South India.,"Kurumba, Betta",Dravidian
Kurumbas,https://www.everyculture.com/South-Asia/Kurumbas.html,"There the Kurumbas occupy the thickly forested slopes, glens, and foothills of the Nilgiri Plateau. The Nilgiri groups are seven in number: the Alu-(milk), Palu-(milk), Betta-(hill), Jenu-(honey), Mulla- (net), and Urali-(village) Kurumbas, as well as the Mudugas (no etymology).","Kurumba, Betta",Dravidian
About: Betta Kurumba language,https://dbpedia.org/page/Betta_Kurumba_language,"The Betta Kurumba language (Beṭṭa Kurumba) is a Dravidian language closely related to Tamil, and is spoken by 32,000 people in the Nilgiri mountains and in adjoining areas in Tamil Nadu, Karnataka and Kerala.Beṭṭa (ಬೆಟ್ಟ) means “hills” in Kannada and “Hunter” in Tamil.","Kurumba, Betta",Dravidian
"Audio Recording, Music, Folk Music, Dravidian Languages, Folk Songs, Toda | Library of Congress","https://www.loc.gov/audio?all=true&c=150&fa=subject:music|subject:folk+music|language:dravidian+languages|subject:folk+songs,+toda&st=list","Vocal works sung in Kota, Toda, Irula (Mele-Nādu and Kasaba), and Kurumba (Ālu- and Beṭṭa- ). Recordings, accompanying text, and photographs, William Tallotte. Various performers. Recorded 2004-2012, Nilgiri, South India. Compact discs.","Kurumba, Betta",Dravidian
Betta Kurumba language,https://grokipedia.com/page/betta_kurumba_language,"Betta Kurumba is a member of the Dravidian language family, specifically classified within the South Dravidian branch.[2][8] According to Glottolog (v5.2), it falls under South Dravidian > South Dravidian I > Kannada > Bellari, positioning it as a coordinate lect in the Kurumba cluster alongside Alu Kurumba and others.[2] Ethnologue confirms its placement in the Dravidian family without further subgrouping details.[8] The language's closest relatives include other Nilgiri Dravidian languages such as Badaga, Alu Kurumba, and Toda, sharing phonological, lexical, and morphological features typica","Kurumba, Betta",Dravidian
