title,link,text,language,family
List of Caribbean music genres - Wikipedia,https://en.wikipedia.org/wiki/List_of_Caribbean_music_genres,"Caribbean music genres are very diverse. They are each synthesis of African, European, Asian and Indigenous influences, largely created by descendants of African enslaved people (see Afro-Caribbean music), along with contributions from other communities (such as Indo-Caribbean music).",Matipuhy,Cariban
Amonap language - Wikipedia,https://en.wikipedia.org/wiki/Amonap_language,"May 28, 2025 - Amonap, also known as Apalakiri, is a Cariban language spoken by the Kuikuro and Kalapalo peoples of Brazil, and by the Matipu. It is spoken in seven villages along the Culuene River in the Xingu Indigenous Park of Mato Grosso. The Matipuhy dialect is moribund, with only 10 speakers remaining.",Matipuhy,Cariban
Kuikúro language - Wikipedia,https://en.wikipedia.org/wiki/Matipu_language,"September 29, 2025 - Kuikúro, also known as Amonap, Upper Xingu Cariban and Apalakiri, is a Cariban language spoken by the Kuikuro and Kalapalo peoples of Brazil. It is spoken in seven villages along the Culuene River in the Xingu Indigenous Park of Mato Grosso. The Matipuhy language, closely related and sometimes ...",Matipuhy,Cariban
Cariban languages - Wikipedia,https://en.m.wikipedia.org/wiki/Cariban_languages,"July 27, 2025 - The Cariban languages are a family of languages Indigenous to north-eastern South America. They are widespread across northernmost South America, from the mouth of the Amazon River to the Colombian Andes, and they are also spoken in small pockets of central Brazil.",Matipuhy,Cariban
Matipuhy language - Wikipedia,https://en.wikipedia.org/wiki/ISO_639:mzo,"September 29, 2025 - Matipuhy is a moribund Cariban language of Brazil.",Matipuhy,Cariban
Category:Cariban languages - Wikipedia,https://en.wikipedia.org/wiki/Category:Cariban_languages,Cariban languages · Carib language · Akurio language · Apalaí language · Apiaká of Tocantins · Arakajú language · Bakairi language · Boanarí language · Carijona language · Cumanagoto language · Hixkaryana language · Ikpeng language · Japreria language · Juma language (Carib) Kapóng language · Kuikúro language · Macushi language · Mapoyo language · Matipuhy ...,Matipuhy,Cariban
Caribbean music,https://music.youtube.com/playlist?list=PLkg9m8LRGLrM_2NeAwkEnn_QyUBjiFyzy,"Listen to Caribbean music on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Matipuhy,Cariban
"Kompa Hits – Best Caribbean Music - YouTubeSelecta Charts: Best Reggae, Dancehall, Soca SongsSkempi | Empowering the world's musiciansList of Caribbean music genres - WikipediaMatipuhy language — GrokipediaStream cariban cariban music | Listen to songs, albums ...",https://www.youtube.com/watch?v=obHUQtM2azA,"Enjoy the top Kompa hits with vibrant Haitian energy and tropical vibes. Perfect for chilling, dancing, or bringing the summer Caribbean atmosphere to your d... Stream and Download the Best Caribbean Music, Reggae, Dancehall & Soca from Jamaica, Trinidad, Barbados & more | Free Music & Audio App. Search, play, and like your favorite Caribbean songs and listen to the realtime Caribbean Music Top 40. View Caribbean artist biographies and discographies and enjoy ad-free music streaming with Skempi Premium. Caribbean music genres are very diverse. They are each synthesis of African, European, Asian and Indigenous influences, largely created by descendants of African enslaved people (see Afro-Caribbean music), along with contributions from other communities (such as Indo-Caribbean music). No tone is explicitly documented for Matipuhy, but related Cariban languages like Kuikuro employ high tone domains aligned to stressed syllables, potentially indicating a prosodic system rather than lexical tone. Play cariban cariban and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Matipuhy,Cariban
Skempi | Empowering the world's musicians,https://www.skempi.com/,"Search, play, and like your favorite Caribbean songs and listen to the realtime Caribbean Music Top 40. View Caribbean artist biographies and discographies and enjoy ad-free music streaming with Skempi Premium.",Matipuhy,Cariban
Matipuhy language — Grokipedia,https://grokipedia.com/page/matipuhy_language,"No tone is explicitly documented for Matipuhy, but related Cariban languages like Kuikuro employ high tone domains aligned to stressed syllables, potentially indicating a prosodic system rather than lexical tone.",Matipuhy,Cariban
