title,link,text,language,family
Indo-Portuguese creoles - Wikipedia,https://en.wikipedia.org/wiki/Indo-Portuguese_creoles,"Indo-Portuguese creoles are the several Portuguese creoles spoken in the former settlements of Portuguese India, including those in Kerala, Bombay, Korlai, Bassein, Goa, Daman and Diu, the Bengal Delta, Portuguese Ceylon, etc; in present-day India and Sri Lanka.",Indo-Portuguese,Creole
Portuguese-based creole languages - Wikipedia,https://en.wikipedia.org/wiki/Portuguese-based_creole_languages,"Portuguese creoles (Portuguese: crioulo) are creole languages which have Portuguese as their substantial lexifier. The most widely-spoken creoles influenced by Portuguese are Cape Verdean Creole, Guinea-Bissau Creole and Papiamento. Origins.",Indo-Portuguese,Creole
SING WITHOUT SHAME: ORAL TRADITIONS IN INDO-PORTUGUESE CREOLE ...,https://api.pageplace.de/preview/DT0400.9789027278272_A24759152/preview-9789027278272_A24759152.pdf,"These recordings at Palayuttu, Trincomalee seem to include the full repertoire as played by members of a traditional Burgher instrumental group, and the folk verses not only appear in the Nevill manuscript but also can be traced in studies that reproduce folklore of other Indo-Portuguese or Asian Portuguese creole communities.",Indo-Portuguese,Creole
Sing Without Shame: Oral traditions in Indo-Portuguese Creole ...,https://benjamins.com/catalog/cll.5,"This study of literary themes, linguistic practice and cultural traditions analyzes the oral traditions of Indo-Portugese creole verse, as a synthesis from European, African and Asian sources.",Indo-Portuguese,Creole
Sing without shame: Oral traditions in Indo-Portuguese Creole ...,https://www.cambridge.org/core/journals/language/article/sing-without-shame-oral-traditions-in-indoportuguese-creole-verse-with-transcription-and-analysis-of-a-nineteenthcentury-manuscript-of-ceylon-portuguese-by-kenneth-david-jackson-creole-language-library-5-amsterdam-john-benjamins-macau-instituto-cultural-de-macau-1990-pp-xxvii-257-11-plates/4FFF8890B932F7F7FCAF38C99636867C,"Mar 12, 2026 · Sing without shame: Oral traditions in Indo-Portuguese Creole verse, with transcription and analysis of a nineteenth-century manuscript of Ceylon Portuguese. By Kenneth David Jackson.",Indo-Portuguese,Creole
Sing Without Shame: Oral Traditions In Indo-portuguese Creole ...,https://vdoc.pub/documents/sing-without-shame-oral-traditions-in-indo-portuguese-creole-verse-4s62lo23prp0,"The pride of the community of ""Nossa Senhora de Esperança,"" as in other Indo-Portuguese creole communities of Asia, is to be found in the folk verses, music, rituals, and ceremonies that reinforce cultural expression.",Indo-Portuguese,Creole
Sing without shame: Oral traditions in Indo-Portuguese Creole ...,https://www.jbe-platform.com/content/journals/10.1075/jpcl.8.2.20smi,"Sing without shame: Oral traditions in Indo-Portuguese Creole verse, with transcription and analysis of a nineteenth-century manuscript of Ceylon Portuguese. By Kenneth David Jackson",Indo-Portuguese,Creole
Sing without shame : oral traditions in Indo-Portuguese ...,https://www.semanticscholar.org/paper/Sing-without-shame-:-oral-traditions-in-Creole-:-of-Bright-Jackson/7c2b455f051f0fa401383d168a8dd91d97adefc1,"The music begins with the violins of Newton and the youngsters, Angelo and Rushman, as the dancers in each couple turn to each other. Hayed soon beats three beats on the rabáána 2 (frame drum) in a…",Indo-Portuguese,Creole
Sing Without Shame: Oral traditions in Indo-Portuguese Creole verse,https://www.benjamins.com/catalog/cll.5,"This study of literary themes, linguistic practice and cultural traditions analyzes the oral traditions of Indo-Portugese creole verse, as a synthesis from European, African and Asian sources.",Indo-Portuguese,Creole
(PDF) Indo-Portuguese Cantigas: Oral Traditions in Ceylon...,https://www.researchgate.net/publication/273941369_Indo-Portuguese_Cantigas_Oral_Traditions_in_Ceylon_Portuguese_Verse,"Indo-Portuguese creole verse is related to the Hispanic ballad, popular and religious. poetry, medieval drama, and the folk tale. Representing a tradition comparable to the Brazilian.",Indo-Portuguese,Creole
