title,link,text,language,family
Judeo-Berber language - Wikipedia,https://en.wikipedia.org/wiki/Judeo-Berber_language,"Judeo-Berber is the language and dialects formed in Berber Jewish communities of central and southern Morocco where Berber dialects were common. Judeo-Berber was the primary, if not the only, language used by many in Berber Jewish communities, though others used primarily Judeo-Arabic. [1]",Judeo-Berber,Afro-Asiatic
Berber music - Wikipedia,https://en.wikipedia.org/wiki/Berber_music,"Berber music (or Amazigh music) refers to the musical traditions of the Berbers, an ethnolinguistic group indigenous to North Africa who predate the arrival of Arabs in the Arab migration to the Maghreb. [1][2] Berber music varies widely across North Africa.",Judeo-Berber,Afro-Asiatic
Shout out to the Afro Asiatic Family and Shabbat Shalom!,https://www.youtube.com/watch?v=3cJhfvlLOh0,"Afro-Asiatic Hebrews!Shout out to the Berber, Cushitic & Shemitic Family! Northern Berber (Moors, Judeo Berber)Eastern Cushitic (Afar, Somalia & Oromia)Centr...",Judeo-Berber,Afro-Asiatic
Reconstructing the history of Berber [Amazigh] music,https://shs.cairn.info/journal-etudes-et-documents-berberes-2024-2-page-7?lang=en,"The paper begins with a basic mapping of Berber peoples and languages, and § 2.2 reviews the existing published literature. § 2.3 presents the major published recordings as well as the presence of significant archives of Berber music. §3 describes the musical instruments played by the Berber peoples, following the Sachs-Hornbostel ...",Judeo-Berber,Afro-Asiatic
Amazigh and Berber Music - The Sound Atlas,https://thesoundatlas.org/discover/amazigh-berber,"Explore Amazigh and Berber Music: origins in Atlas Mountains, Morocco, lineage, sonic qualities, cultural context, and defining songs.",Judeo-Berber,Afro-Asiatic
Esther singing in Judeo-Amazigh (Song #1) - YouTube,https://www.youtube.com/watch?v=ALLG_WMqkQs,Esther singing a song in the Tashelhit dialect of Judeo-Amazigh (historically known by the offensive term Berber). Original video by Mother Tongue.,Judeo-Berber,Afro-Asiatic
Amazigh Rising | Afropop Worldwide,https://www.afropop.org/audio-programs/berber-rising,"Amazigh Rising Berber history and music span from ancient sounds from the Atlas and Kabyle mountains to the latest pop fusions. In this, the first of Afropop's Berber music series, we get the history and hear some of the extraordinary music that history has given us. Produced by Banning Eyre.",Judeo-Berber,Afro-Asiatic
Mohamed Elmedlaoui and Sigal Azaryahu - The Moroccan music abroad ...,https://www.ahewar.org/eng/show.art.asp?aid=426,"The Moroccan music abroad, among the Moroccan Berber-Jewish communities (A survey of a research program) Mohamed Elmedlaoui and Sigal Azaryahu 2007 / 8 / 26 In this paper, we well survey the complicated dynamics of change and/or conservation within the repertory of the traditional oral Berber dancing songs called Ahwash, as this genre is still performed among certain Moroccan Berber-Jewish ...",Judeo-Berber,Afro-Asiatic
The Judeo-Amazigh Cultural Substratum: An Integrated Analysis Of North ...,https://www.eurasiareview.com/21022026-the-judeo-amazigh-cultural-substratum-an-integrated-analysis-of-north-african-ethno-religious-synthesis-analysis/,The ethnographic and historical value of Judeo-Berber texts extends beyond Jewish community studies to Berber linguistics and North African history more broadly.,Judeo-Berber,Afro-Asiatic
"Intimacy, Cooperation and Ambivalence - JSTOR",https://www.jstor.org/stable/48561446,"y the Mediterranean sea to the north. Wherever they resided, they spoke several dialects of the Berber language, which is classified as a Chamito-Semitic or Afro-Asiatic language with African linguistic features on the one hand and some morphological and exical Semitic features on the other. This short study will dea",Judeo-Berber,Afro-Asiatic
