title,link,text,language,family
Inuit music - Wikipedia,https://en.wikipedia.org/wiki/Inuit_music,"September 23, 2025 - Traditional Inuit music (sometimes Eskimo music, Inuit-Yupik music, Yupik music or Iñupiat music), the music of the Inuit, Yupik, and Iñupiat, has been based on drums used in dance music as far back as can be known, and a vocal style called katajjaq (Inuit throat singing) has become of interest ...",Inuinnaqtun,Eskimo-Aleut
Traditional Inuit Music – Teacher as Researcher,https://leapintothevoidwithme.wordpress.com/2016/04/12/traditional-inuit-music/,"June 6, 2017 - The music is mainly based on the sound of drums and the singing and chanting of Inuit themselves. https://www.youtube.com/watch?v=cSMOGCWcqQo Traditional Inuit songs have several categories: Pisiit Pisiit songs tell of things that have…",Inuinnaqtun,Eskimo-Aleut
Discovering the Music and Melodies of the Inuit,https://www.hatching-dragons.com/blog/discovering-the-music-and-melodies-of-the-inuit,"February 4, 2024 - Uncover the captivating melodies and rich cultural heritage of Inuit traditional folk music that is found across the Arctic",Inuinnaqtun,Eskimo-Aleut
Compilation - Traditional Inuit Music of Eskimo Point & Rankin Inlet | Museum of Canadian Music,https://citizenfreak.com/titles/315930-compilation-traditional-inuit-music-of-eskimo-point-rankin-inlet,Compilation - Traditional Inuit Music of Eskimo Point & Rankin Inlet - Discover Canadian music at the Museum of Canadian Music.,Inuinnaqtun,Eskimo-Aleut
Inuit Music: Native Alaska by Native American Music Consort on Apple Music,https://music.apple.com/us/album/inuit-music-native-alaska/1706044046,"September 8, 2023 - Listen to Inuit Music: Native Alaska by Native American Music Consort on Apple Music. 2023. 30 Songs. Duration: 1 hour 36 minutes.",Inuinnaqtun,Eskimo-Aleut
Inuit Music - Melodigging,https://www.melodigging.com/genre/inuit-music,"Inuit music encompasses the traditional ... (katajjaq). It is primarily vocal and percussive, built on repetitive patterns, vocables, and a strong sense of breath and pulse rather than on Western harmony....",Inuinnaqtun,Eskimo-Aleut
Inuit Legends - song and lyrics by Native American Music Consort | Spotify,https://open.spotify.com/track/1aVSuuP0O0S0xIMJLwsg9P,"August 31, 2023 - Listen to Inuit Legends on Spotify. Song · Native American Music Consort · 2023",Inuinnaqtun,Eskimo-Aleut
Inuit Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/inuit-music/2/,Music of the Inuit: The Copper Eskimo Tradition / Musique des Inuit : la tradition des Eskimos du cuivre,Inuinnaqtun,Eskimo-Aleut
Canada: Music of the Inuit: The Copper Eskimo Tradition - Compilation by Various Artists | Spotify,https://open.spotify.com/album/4NvsJ6QaWQKiItxAUkHI59,"January 1, 1983 - Listen to Canada: Music of the Inuit: The Copper Eskimo Tradition on Spotify · compilation · Various Artists · 1983 · 16 songs",Inuinnaqtun,Eskimo-Aleut
Inuit & Northern Voices | Museum of Canadian Music,https://citizenfreak.com/playlists/209-inuit-northern-songs,"Featured in this collection are Inuit Teachers Of Kativik – Children Songs In Inuktitut, Nellie Echalook & Rebecca Nutialuk – Katajjait (Musique de gorge / Throat Music), Traditional Inuit Music of Eskimo Point & Rankin Inlet, Etulu & Susan Peta – Songs by Etulu & Susan Peta, Willie Thrasher – Spirit Child / Fils de la Tradition, Charlie Panigoniak & Lorna Tasseor – Just for Kids, Charlie Panigoniak – Eskimo Singer / Composer, Sugluk – Attama Onnikansigit (My Father's Story) b/w Sunamiq Pigumavit (What Do You Want?)",Inuinnaqtun,Eskimo-Aleut
