title,link,text,language,family
Meitei ritual songs - Wikipedia,https://en.wikipedia.org/wiki/Meitei_ritual_songs,"Meitei ritual songs are traditional vocal compositions associated with the religious and ceremonial practices of the Meitei people of Manipur, northeast India. These songs are performed during various rituals, including those related to ancestor worship, seasonal Meitei festivals, and rites of passage associated with Sanamahism, the traditional ...",Meitei,Sino-Tibetan
Ancient Meitei hymns - Wikipedia,https://en.wikipedia.org/wiki/Ancient_Meitei_hymns,"Ancient Meitei hymns are traditional ritual chants originating from the Meitei people of Manipur in Northeast India. Composed in the Meitei language, these hymns form a part of the Meitei folklore associated primarily with Sanamahism, the indigenous religion of the Meitei.",Meitei,Sino-Tibetan
Music | Meitei / 冥丁,https://meitei.bandcamp.com/,AGATE / 瑪瑙 Sen'nyū / 泉涌 TOTSUKAWA / 十津川 冥丁 / Meitei Kofū III / 古風 III Kwaidan / 怪談 (5th Anniversary Edition) SHITSURAI / 室礼,Meitei,Sino-Tibetan
AGATE / 瑪瑙 | Meitei / 冥丁,https://meitei.bandcamp.com/album/agate,"AGATE / 瑪瑙 by Meitei / 冥丁, released 17 April 2026 1. HAŌ / 覇王 2. SHIN-OIRAN / 新花魁 3. SHIN-SADAYAKKO / 新貞奴 4. SHIN-WARŌSOKU / 新和蝋燭 5. KYŪGEKI / 旧劇 6. SHIN-OIRAN II / 新花魁Ⅱ 7. SHIN-EDOGAWARANPO / 新江戸川乱歩 KITCHEN. LABEL is proud to present AGATE, the latest album by Japanese artist MEITEI, marking a deepening of the world he first shaped ...",Meitei,Sino-Tibetan
Meitei - YouTube Music,https://music.youtube.com/channel/UC2jhrR-YQt86LMTCp2cfAeA,"Listen to music from Meitei on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Meitei,Sino-Tibetan
TIBETO-BURMAN: MEITEI/MANIPURI & LOTHA NAGA - YouTube,https://www.youtube.com/watch?v=DLf2--0xQCI,"Lotha is a language belonging to the Tibeto-Burman branch of the Sino-Tibetan language family, primarily spoken in Wokha district of Nagaland, India.",Meitei,Sino-Tibetan
"Meitei Discography: Vinyl, CDs, & More | Discogs",https://www.discogs.com/artist/6263450-Meitei,"Explore Meitei's biography, discography, and artist credits. Shop rare vinyl records, top albums, and more on Discogs.",Meitei,Sino-Tibetan
D-PLACE - Society Meitei,https://d-place.org/society/CCMCmeit1246,"Map Coordinates WGS84 24°26'N, 93°21'E24.44, 93.34 Phylogenies mani1292 on Sino-Tibetan (Glottolog v5.0)",Meitei,Sino-Tibetan
MEITEI - Spotify,https://open.spotify.com/artist/5TS4DIOBGgEE6ysYh7yuii,Listen to MEITEI on Spotify. Artist · 219.3K monthly listeners.,Meitei,Sino-Tibetan
Meitei - Apple Music,https://music.apple.com/us/artist/meitei/894313513,"Listen to music by Meitei on Apple Music. Find top songs and albums by Meitei including Sleeping, Okue and more.",Meitei,Sino-Tibetan
