title,link,text,language,family
Daju Mongo language - Wikipedia,https://en.wikipedia.org/wiki/Daju_Mongo_language,"Daju Mongo, also Wadai Daju or Dar Daju Daju, is an Eastern Sudanic language, one of three closely related languages in the area called ""Daju"". It is spoken in Chad by the Dar Daju Daju people near the Darfur border. There are three dialects, Bardangal, Eref, and Gadjira.","Daju, Dar Daju",Nilo-Saharan
"GRN Daju, Dar Daju - Daju, Dar Daju - YouTube",https://www.youtube.com/playlist?list=PLnLIIiKxDvvEfL1mTD0jKqxAjWdoIyPS4,"GRN recordings in Daju, Dar Daju - Daju, Dar Daju These recordings are designed for evangelism and basic Bible teaching to bring the gospel message to people...","Daju, Dar Daju",Nilo-Saharan
"Daju, Dar Daju Language (DJC) – L1 & L2 Speakers... | Ethnologue Free",https://www.ethnologue.com/language/djc/,"Dar Daju Daju is a stable indigenous language of Chad. It belongs to the Nilo-Saharan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.","Daju, Dar Daju",Nilo-Saharan
Dar Daju Daju - djc (Nilo-Saharan) - PeopleGroups.org,https://peoplegroups.org/language/djc/,"Dar Daju Daju (djc) is part of the Nilo-Saharan family and Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Daju, Western Daju class.No entries found for the specified language code: Dar Daju Daju (djc).","Daju, Dar Daju",Nilo-Saharan
Nilo-Saharian languages - Sorosoro Sorosoro,https://www.sorosoro.org/en/nilo-saharian-languages/,"Logorik, Shatt, Baygo, Dar Daju Daju, Dar Fur Daju, Dar Sila Daju, Njalgulgule.To appear. “Nilo-Saharan and its limits”. In Jean-Marie Hombert and Gerard Philippson (eds.), The Genetic Classification of African Languages Revisited.","Daju, Dar Daju",Nilo-Saharan
The phonology and morphology of the dar daju daju language,"https://theswissbay.ch/pdf/Books/Linguistics/Mega+linguistics+pack/African/Nilo-Saharan/Dar+Daju+Daju+Language,+The+Phonology+and+Morphology+of+the+(Aviles).pdf","The Dar Daju Daju is part of the Nilo-Saharan phylum of African languages. Bender (2005:1). divides Nilo-Saharan into six families: Songay, Saharan, Kuliak, Fur, Central Sudanic and.","Daju, Dar Daju",Nilo-Saharan
Daju Mongo language — Grokipedia,https://grokipedia.com/page/daju_mongo_language,"Daju Mongo, also known as Dar Daju Daju, is a member of the Nilo-Saharan language family, specifically classified within the Eastern Sudanic branch.","Daju, Dar Daju",Nilo-Saharan
AFRICA | 101 Last Tribes - Daju people,https://www.101lasttribes.com/tribes/daju.html,"Dar Daju Daju numbering 34,000 (1993) and living in the Guéra Region of Chad.The number of the persons in this group exceeds 50,000. They speak Dar Sila Daju, a Nilo-Saharan language.","Daju, Dar Daju",Nilo-Saharan
"Daju, Dar Daju in Chad people group profile | Joshua Project",https://joshuaproject.net/people_groups/14618/cd,"Learn about the Daju, Dar Daju in Chad people group. Profiles include statistics, text, photo, map, progress indicator and language resources.","Daju, Dar Daju",Nilo-Saharan
"Nilo-Saharan Language Family: Classification, Distribution, and...",https://soluap.com/nilo-saharan-language-family-classification-distribution-and-shared-linguistic-features/,"Nilo-Saharan languages are spoken across a wide belt of Africa, including: North Africa: Egypt, Sudan, Chad. Central Africa: Central African Republic, Democratic Republic of the Congo.Nyala (Daju Dar Dur). Njalgulgule. They are spoken by roughly 250,000 people.","Daju, Dar Daju",Nilo-Saharan
