title,link,text,language,family
Malapandaram language - Wikipedia,https://en.wikipedia.org/wiki/Malapandaram_language,"Malapandaram (IPA: [mɐlɐpːɐɳɖaːrɐm]) is a Dravidian language of Kerala and Tamil Nadu that is closely related to Tamil. [2] This is the language of the Malappandaram tribe, who live in the forest areas of Tamil Nadu and Kerala.",Malapandaram,Dravidian
Malappandaram tribe - Wikipedia,https://en.wikipedia.org/wiki/Malappandaram_tribe,"The Malapandaram, also known as Mala Pandaram or Malai Pandaram, are an indigenous tribal community primarily inhabiting the eastern hilly regions of Kollam and Pathanamthitta districts in Kerala.",Malapandaram,Dravidian
Malapandaram Tribal boys singing... - YouTube,https://www.youtube.com/watch?v=ytEW9MJg3PI,These boys belong to the nomadic tribal community of 'Malapandaram' residing in different forest enclaves of Idukki district in Kerala. There are only around...,Malapandaram,Dravidian
South Indian Classical Carnatic Music Krithi Archive with ... - Shivkumar,https://www.shivkumar.org/music/,"Links to Carnatic Music Sites (for lyrics,recordings and more): Carnatic Music Varnams & Geethams Archive Carnatic Music Manodharma Archive (Alapana, Neraval, Swarakalpana, RTP etc) Kshethradanam (Temple Blogs by Shri K Kalyanaraman) Kshethradanam YouTube Videos (Temple VLogs by Shri K Kalyanaraman) Skype Classes: Vidya Subramanian",Malapandaram,Dravidian
Malapandaram language — Grokipedia,https://grokipedia.com/page/malapandaram_language,"Malapandaram is an endangered Dravidian language (ISO 639-3: mjp) spoken primarily by the Malapandaram tribal community, a small group of approximately 5,900 individuals (2001 census) residing in the forested hills bordering the states of Kerala and Tamil Nadu in southern India. [1] Classified within the South Dravidian branch, it belongs to the Tamil subgroup and is closely related to Tamil ...",Malapandaram,Dravidian
About: Malapandaram language - DBpedia Association,https://dbpedia.org/page/Malapandaram_language,Malapandaram (Hill Pandaram) is a Dravidian language of Kerala and Tamil Nadu that is closely related to Malayalam.,Malapandaram,Dravidian
"Stream Dravidian music | Listen to songs, albums, playlists for free on ...",https://soundcloud.com/user-465390815,"Play Dravidian and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Malapandaram,Dravidian
OLAC resources in and about the Malapandaram language,http://www.language-archives.org/language/mjp,OLAC resources in and about the Malapandaram language ISO 639-3: mjp The combined catalog of all OLAC participants contains the following resources that are relevant to this language:,Malapandaram,Dravidian
Malapandaram language - Wikiwand,https://www.wikiwand.com/en/Malapandaram_language,"Dravidian language of India / From Wikipedia, the free encyclopedia Malapandaram (Hill Pandaram) is a Dravidian language of Kerala and Tamil Nadu that is closely related to Tamil.",Malapandaram,Dravidian
നാടൻ പാട്ട് (മലപണ്ടാരം) | Folk Song by Malapandaram Community,https://www.youtube.com/watch?v=58ovPPwjKSU,"This song is about shiva and parvathi, and how they roam around in the forest. LoreKeeper: Raman (80)Place: Konni,PathanamthittaType of Lore: Folk song (Mala...",Malapandaram,Dravidian
