title,link,text,language,family
Sauri language - Wikipedia,https://en.wikipedia.org/wiki/Sauri_language,"November 25, 2025 - Sauri is a Papuan language of the Indonesian province of Papua, on the eastern shore of Cenderawasih Bay. It is spoken in Sauri-Sirami village, Masirei District, Waropen Regency. Sauri is lexically similar to the East Geelvink Bay languages and presumably belongs in that family, but is too ...",Sauri,East Geelvink Bay
East Geelvink Bay languages - Wikipedia,https://en.wikipedia.org/wiki/East_Geelvink_Bay_languages,"August 8, 2025 - The East Geelvink Bay or East Cenderawasih languages are a language family of a dozen Papuan languages along the eastern coast of Geelvink Bay in Indonesian Papua, which is also known as Sarera Bay or Cenderawasih.",Sauri,East Geelvink Bay
Endangered Languages Project - Sauri - Guide,https://elcat.colo.hawaii.edu/lang/2778/guide?hl=en,Sauri Classification: East Geelvink Bay · endangered DescriptionResourcesActivityRevitalizationBibliographySuggest a ChangeSubscribe,Sauri,East Geelvink Bay
Stream and listen to music online for free with SoundCloud,https://soundcloud.com/,"Discover and play over 320 million music tracks. Join the world’s largest online community of artists, bands, DJs, and audio creators.",Sauri,East Geelvink Bay
Sauri language explained,https://everything.explained.today/Sauri_language/,"Sauri is a Papuan language of the Indonesia n province of Papua, on the eastern shore of Cenderawasih Bay. It is spoken in Sauri-Sirami village, Masirei District, Waropen Regency.",Sauri,East Geelvink Bay
"Listen to Your Favorite Music, Podcasts, and Radio Stations ...",https://www.iheart.com/,"All your favorite music, podcasts, and radio stations available for free. Listen to thousands of live radio stations or create your own artist stations and playlists.",Sauri,East Geelvink Bay
Stream Geelvink by Soekie Sandra Krog | Listen online for ...,https://soundcloud.com/soekiesandrakrog/geelvink,Stream Geelvink by Soekie Sandra Krog on desktop and mobile. Play over 320 million tracks for free on SoundCloud.,Sauri,East Geelvink Bay
Geelvink Bay,https://mpi-lingweb.shh.mpg.de/numeral/Geelvink-Bay.htm,"East Geelvink Bay · : Bauziː · Bauzi · , Demisa · Anasi, Barapasi · , Burate · , Kofei · , Nisa · , Sauri · , Tefaro · , Tunggare, Woria · Lakes Plain · : Awera: Awera · East Lakes Plain · : Foau · , Taworta · Rasawa-Saponi: Rasawa · , Saponi · Tariku: Central: Edopi ·",Sauri,East Geelvink Bay
East Geelvink Bay | Ethnologue Free,https://www.ethnologue.com/subgroup/1397/,"Sauri srt, a language of Indonesia · Tefaro tfo, a language of Indonesia · Tunggare trt, a language of Indonesia · Woria wor, a language of Indonesia · Bauzi 2 · Bauzi bvz, a language of Indonesia · Demisa dei, a language of Indonesia ·",Sauri,East Geelvink Bay
"Category:East Geelvink Bay languages - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/Category:East_Geelvink_Bay_languages,"Information about East Geelvink Bay: This category has the following 10 subcategories, out of 10 total. Barapasi language (2 c, 0 e) Bauzi language (2 c, 0 e) Burate language (1 c, 0 e) Demisa language (2 c, 0 e) Kofei language (1 c, 0 e) Nisa language (0 c, 0 e) Sauri language (1 c, 0 e) Tefaro language (1 c, 0 e) Tunggare language (2 c, 0 e) Woria language (0 c, 0 e) Retrieved from ""https://en.wiktionary.org/w/index.php?title=Category:East_Geelvink_Bay_languages&oldid=57958070"" Categories: Languages by family ·",Sauri,East Geelvink Bay
