title,link,text,language,family
Masalit language - Wikipedia,https://en.wikipedia.org/wiki/Masalit_language,"Masalit (autonym Masala/Masara; Arabic: ماساليت) is a Nilo-Saharan language of the Maban language group spoken by the Masalit people in Ouaddaï Region, Chad and West Darfur, Sudan.",Masalit,Nilo-Saharan
Masalit Music of Chad and Darfur - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh89CErYRxomPpslTELJefEF,The Masalit or Massalite people are indigenous to the Eastern Sahara.,Masalit,Nilo-Saharan
"Stream masalit music | Listen to songs, albums, playlists for free on ...",https://soundcloud.com/masalit,"Play masalit and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Masalit,Nilo-Saharan
AFRICA | 101 Last Tribes - Masalit people,https://www.101lasttribes.com/tribes/masalit.html,"Masalit The Masalit are an ethnic group inhabiting western Sudan and eastern Chad. They speak the Masalit language, which belongs to the Nilo-Saharan family. The Masalit primarily live in their house land Geneina, the capital of west Darfur, a few thousand of them live in Al Qadarif, East Sudan There are 145,000 Masalit scattered throughout Sudan, the majority of whom inhabit parts of Northern ...",Masalit,Nilo-Saharan
The Masalit of Chad and Sudan -- A Cultural Profile - Orville Jenkins,http://orvillejenkins.com/profiles/masalit.html,"Language: The Masalit language is also called Masalit. This is a Nilo-Saharan language in the Maban group. The majority are also bilingual in Arabic. Few can read or write in French (applicable in Chad) or Arabic, the national language of their countries.",Masalit,Nilo-Saharan
Masalit language — Grokipedia,https://grokipedia.com/page/Masalit_language,"The Masalit language (also known as Massalit, Masara, or Kanaa Masaraka) is a Nilo-Saharan language of the Maban branch, spoken primarily by the Masalit people as their first language in the border regions of western Sudan (particularly West Darfur State around Geneina) and eastern Chad (Ouaddaï Region, including Assoungha Department). [1][2] With approximately 440,000 speakers as of 2023, it ...",Masalit,Nilo-Saharan
The Masalit - The Tribal Society,https://thetribalsociety.com/the-masalit/,"The Masalit people maintain a rich cultural tradition, reflected in their music, dance, and oral history. Festivals and ceremonies play a crucial role in community cohesion, with traditional attire and rituals highlighting their cultural significance.",Masalit,Nilo-Saharan
massalit songs - YouTube,https://www.youtube.com/watch?v=8V3jY0bgRQQ,"Explore Massalit songs on YouTube, featuring unique music from the Massalit culture.",Masalit,Nilo-Saharan
Ajii Masaraa nîŋa | SIL Global,https://www.sil.org/resources/archives/66522,Preface in English (Sudan) and in French (Chad) Publication Status: Published Country: Sudan Chad Subject Languages: Masalit [mls] Content Language: English [eng] French [fra] Masalit [mls] Subject: Culture and Folklore Songs Nature of Work: Text Has Version: Ajii Masaraa nîŋa 1st 2012 Requires: Charis SIL Literacy Entry Number: 66522,Masalit,Nilo-Saharan
Stream Saeed Mohamed Adam | Listen to Massalit songs ... - SoundCloud,https://soundcloud.com/saeed-mohamed-adam/sets/massalit-songs,"Listen to Massalit songs, a playlist curated by Saeed Mohamed Adam on desktop and mobile.",Masalit,Nilo-Saharan
